init,type,geometry,geo params,constraints,num_folds,score_mean,score_std,f1_mean,f1_std,smoothness_mean,smoothness_std,avg_freeze_mean,avg_freeze_std,iteration_mean,score_over_f1,score_f1_freeze,score_f1_freeze_smooth
PCA,kernel geo,toroid,,"('variance', 'A', 'R', 'n', 'r')",10,0.116942699,0.014455606,1,0,0.791659324,0.013218903,1.16453804,0.08710238,21,0.116942699,0.136184222,0.107811509
PCA,multi w GP geo,fourier_basis,3,"('variance',)",10,0.118398487,0.016895315,1,0,0.807703952,0.047579023,1.153292241,0.149264506,11,0.118398487,0.136548056,0.110290404
umap:euclidean,map geo,klein bottle,,"('variance', 'A', 'R', 'n', 'r')",10,0.124057461,0.010488441,0.954970238,0.040875796,0.799089873,0.018016596,1.053875442,0.039352369,31,0.129907149,0.136905954,0.109400161
kernel pca:rbf,kernel geo,toroid,,"('variance', 'A', 'R', 'n', 'r')",10,0.117460895,0.015114631,0.956458333,0.072769172,0.828708818,0.035399663,1.115158591,0.076124919,11,0.122808168,0.136950583,0.113492156
PCA,multi w GP geo,toroid,,"('variance', 'A', 'R', 'n')",6,0.135885901,0.050974859,1,0,0.835729437,0.07064693,1.011424615,0.067371762,11,0.135885901,0.137438345,0.114861271
umap:euclidean,kernel geo,cocentric_circles,,"('variance', 'A', 'R', 'n', 'r')",10,0.136087319,0.012119932,1,0,0.796079051,0.015194632,1.013821294,0.060974699,1,0.136087319,0.137968222,0.109833611
umap:euclidean,map geo,fourier_basis,6,"('variance', 'A', 'R', 'n', 'r')",10,0.122800214,0.01017289,0.959017857,0.038835591,0.838586468,0.0234831,1.084195506,0.081060791,21,0.128047891,0.138828948,0.116420077
umap:euclidean,map geo,ellipse,,"('variance', 'A', 'R', 'n', 'r')",10,0.123855901,0.012978395,0.968392857,0.036191455,0.79714705,0.009926184,1.088818441,0.050990556,21,0.127898404,0.139258141,0.111009216
umap:cosine,kernel geo,ellipse,,"('variance', 'A', 'R', 'n', 'r')",10,0.122690346,0.007395459,1,0,0.76661289,0.013733891,1.136836492,0.145496736,1,0.122690346,0.139478862,0.106926294
umap:cosine,kernel geo,fourier_basis,6,"('variance', 'A', 'R', 'n', 'r')",10,0.122642561,0.010815454,1,0,0.805055746,0.014430111,1.139231785,0.061245241,1,0.122642561,0.139718304,0.112481023
PCA,multi w GP geo,ellipse,,"('variance', 'A', 'r', 'R')",9,0.13236188,0.037837388,1,0,0.838818639,0.118442082,1.061184417,0.107816427,11,0.13236188,0.140460364,0.117820772
umap:euclidean,map geo,fourier_basis,5,"('variance', 'A', 'R', 'n', 'r')",10,0.127544926,0.014223157,0.959940476,0.037662911,0.828522423,0.017227318,1.059805921,0.078271027,21,0.132867536,0.140813801,0.116667392
umap:euclidean,kernel geo,fourier_basis,4,"('variance', 'A', 'R', 'n', 'r')",10,0.127548013,0.011716434,1,0,0.787108544,0.025689677,1.117544202,0.12714111,1,0.127548013,0.142540542,0.112194879
PCA,kernel geo,fourier_basis,3,"('variance', 'A', 'R', 'n', 'r')",10,0.122660323,0.015525495,1,0,0.790172303,0.0121361,1.165785112,0.08562144,21,0.122660323,0.142995578,0.112991146
umap:euclidean,map geo,fourier_basis,3,"('variance', 'A', 'R', 'n', 'r')",10,0.123210295,0.008227014,0.959821429,0.032586228,0.809491496,0.020282111,1.115735392,0.215647636,31,0.128367935,0.143224648,0.115939135
umap:euclidean,kernel geo,ellipse,,"('variance', 'A', 'R', 'n', 'r')",10,0.124811965,0.006038128,1,0,0.769095132,0.016440081,1.154569906,0.106083087,1,0.124811965,0.144104139,0.110829792
isomap:15,map geo,toroid,,"('variance', 'A', 'R', 'n', 'r')",10,0.126342021,0.015010468,1,0,0.869076555,0.015147627,1.141554951,0.057316638,41,0.126342021,0.14422636,0.125343748
isomap:15,map geo,fourier_basis,4,"('variance', 'A', 'R', 'n', 'r')",10,0.127293527,0.017607399,1,0,0.847803624,0.010663253,1.134399805,0.062920389,41,0.127293527,0.144401752,0.122424329
kernel pca:rbf,kernel geo,fourier_basis,4,"('variance', 'A', 'R', 'n', 'r')",10,0.129383555,0.026972976,0.991875,0.024375,0.836805416,0.017876786,1.118931838,0.050256835,11,0.130443408,0.145957282,0.122137844
umap:euclidean,map geo,fourier_basis,7,"('variance', 'A', 'R', 'n', 'r')",10,0.131682546,0.013694168,0.932202381,0.052596418,0.865035862,0.028462167,1.041459367,0.089044058,31,0.141259611,0.147116146,0.127260742
isomap:15,map geo,random_sine_waves,5,"('variance', 'A', 'R', 'n', 'r')",10,0.12803195,0.014597749,1,0,0.841306399,0.022914665,1.164507262,0.068736965,71,0.12803195,0.149094135,0.12543385
isomap:15,map geo,random_sine_waves,2,"('variance', 'A', 'R', 'n', 'r')",10,0.127054671,0.015178987,1,0,0.838031469,0.016665424,1.174237469,0.087522049,81,0.127054671,0.149192356,0.125027889
PCA,multi w GP geo,ellipse,,"('variance', 'A', 'R')",10,0.12510623,0.018459538,0.976547619,0.057508872,0.821791671,0.036648167,1.171884173,0.236356472,21,0.128110732,0.150130939,0.123376356
umap:euclidean,kernel geo,fourier_basis,3,"('variance', 'A', 'R', 'n', 'r')",10,0.128497189,0.008120358,1,0,0.797273792,0.017740057,1.169291506,0.147134154,1,0.128497189,0.150250672,0.119790923
isomap:15,map geo,fourier_basis,3,"('variance', 'A', 'R', 'n', 'r')",10,0.129887703,0.013065529,1,0,0.861378567,0.011891386,1.165813314,0.060417734,51,0.129887703,0.151424813,0.130434089
PCA,multi w GP geo,fourier_basis,4,"('variance',)",10,0.124135082,0.018770572,1,0,0.805545458,0.055491245,1.226660866,0.183043427,11,0.124135082,0.152271648,0.122661734
isomap:15,map geo,random_sine_waves,3,"('variance', 'A', 'R', 'n', 'r')",10,0.127474062,0.018356263,1,0,0.83758566,0.019597878,1.203305661,0.130779029,71,0.127474062,0.15339026,0.128477482
isomap:15,map geo,klein bottle,,"('variance', 'A', 'R', 'n', 'r')",10,0.134341672,0.020382565,1,0,0.867772648,0.012705324,1.145289469,0.070444933,71,0.134341672,0.153860102,0.133515588
isomap:15,map geo,ellipse,,"('variance', 'A', 'R', 'n', 'r')",10,0.13506255,0.016955042,1,0,0.871434476,0.01201563,1.146532421,0.085627728,51,0.13506255,0.154853593,0.134944759
isomap:15,map geo,fourier_basis,2,"('variance', 'A', 'R', 'n', 'r')",10,0.13506255,0.016955042,1,0,0.871434476,0.01201563,1.146532421,0.085627728,51,0.13506255,0.154853593,0.134944759
umap:cosine,map geo,none,,"('variance', 'A', 'R', 'n', 'r')",10,0.126292211,0.013888778,0.982053571,0.030400311,0.797723774,0.017917545,1.226090308,0.152345656,31,0.128600124,0.157675365,0.125781387
umap:euclidean,kernel geo,fourier_basis,6,"('variance', 'A', 'R', 'n', 'r')",10,0.136597897,0.014844354,1,0,0.807877323,0.017146411,1.157197244,0.071178284,1,0.136597897,0.158070709,0.127701742
isomap:15,map geo,sphere,,"('variance', 'A', 'R', 'n', 'r')",10,0.128617565,0.016571319,1,0,0.872971775,0.013632444,1.24011381,0.098620459,61,0.128617565,0.159500419,0.139239364
isomap:15,map geo,mobius strip,,"('variance', 'A', 'R', 'n', 'r')",10,0.136716578,0.022887243,1,0,0.860916953,0.016501988,1.172701864,0.072593959,61,0.136716578,0.160327786,0.138028909
umap:cosine,map geo,chebyshev_basis,3,"('variance', 'A', 'R', 'n', 'r')",10,0.129509166,0.010317911,1,0,0.784937789,0.01906467,1.238357818,0.130519793,51,0.129509166,0.160378689,0.125887293
umap:cosine,map geo,linear,,"('variance', 'A', 'R', 'n', 'r')",10,0.130308699,0.014371111,1,0,0.787778059,0.018710628,1.234812197,0.145910752,41,0.130308699,0.160906771,0.126758824
umap:cosine,map geo,laguerre_basis,3,"('variance', 'A', 'R', 'n', 'r')",10,0.129020633,0.012801943,1,0,0.786371949,0.02113016,1.259012927,0.176208053,41,0.129020633,0.162438645,0.127737194
umap:cosine,map geo,legendre_basis,3,"('variance', 'A', 'R', 'n', 'r')",10,0.129503569,0.011900315,1,0,0.794109096,0.023092632,1.263003529,0.152545849,21,0.129503569,0.163563465,0.129887235
isomap:15,map geo,laguerre_basis,5,"('variance', 'A', 'R', 'n', 'r')",10,0.135397138,0.019396831,1,0,0.854658253,0.015157675,1.210896569,0.114630233,71,0.135397138,0.16395193,0.14012287
PCA,map geo,fourier_basis,8,"('variance', 'A', 'R', 'n', 'r')",10,0.17159667,0.018995522,0.953005952,0.066405533,1.031671267,0.015810698,0.914171278,0.029804364,41,0.18005834,0.164604163,0.169817385
PCA,map geo,mobius strip,,"('variance', 'A', 'R', 'n', 'r')",10,0.128199131,0.012561215,1,0,0.780086484,0.011727483,1.30523252,0.095435174,21,0.128199131,0.167329675,0.130531618
umap:cosine,map geo,sphere,,"('variance', 'A', 'R', 'n', 'r')",10,0.131714972,0.011288156,1,0,0.891412595,0.019165479,1.274579591,0.208500463,61,0.131714972,0.167881215,0.14965143
