init,type,geometry,geo params,num_folds,score_mean,score_std,f1_mean,f1_std,smoothness_mean,smoothness_std,avg_freeze_mean,avg_freeze_std,iteration_mean,score_over_f1,score_f1_freeze,score_f1_freeze_smooth
PCA,mlp geo,fourier_basis,7,5,0.343632176,0.039526289,0.932212232,0.044575043,0.928117913,0.040879556,8.329015443,5.908423783,1,0.36862011,3.070242589,2.849547143
PCA,mlp geo,fourier_basis,10,5,0.33219156,0.069115605,0.811640804,0.29454801,0.995351878,0.068899679,7.85744627,5.27527976,11,0.409283958,3.215926706,3.200978687
umap:cosine,mlp geo,fourier_basis,7,2,0.279005854,0.013704606,0.938131313,0.021464646,0.897055107,0.032836445,11.0499741,6.102204275,1,0.297405971,3.286328277,2.948017565
PCA,mlp geo,fourier_basis,11,8,0.350381072,0.042507681,0.907775072,0.125137626,1.005409798,0.093903243,9.337578284,8.279330204,11,0.385977852,3.604098405,3.623595851
umap:euclidean,mlp geo,fourier_basis,8,3,0.277760577,0.023613973,0.973063973,0.019046647,0.882448906,0.020917171,13.06832592,9.148505754,1,0.285449451,3.730346467,3.291840159
umap:cosine,mlp geo,fourier_basis,8,3,0.305239927,0.031221138,0.973063973,0.019046647,0.91861357,0.034414142,12.13677532,8.749206226,11,0.313689476,3.807178686,3.497326005
umap:euclidean,mlp geo,fourier_basis,9,5,0.305493764,0.016361621,0.975252525,0.033210671,0.869148211,0.021558309,13.62126249,10.30176168,1,0.313245807,4.266803361,3.708484507
umap:cosine,mlp geo,fourier_basis,10,8,0.308878581,0.024122206,0.940205628,0.057515858,0.878467424,0.030019245,13.9146085,10.91869124,1,0.328522369,4.571260153,4.015703129
PCA,mlp geo,toroid,,5,0.300903551,0.060936472,0.948878899,0.050792323,0.891699805,0.018571256,14.66271982,11.31581439,1,0.317114809,4.649765595,4.146195073
PCA,mlp geo,fourier_basis,5,6,0.339469622,0.081496719,0.965488215,0.037360843,0.882347107,0.043473574,13.41524236,7.004958577,1,0.351604107,4.716854309,4.161902753
umap:euclidean,mlp geo,toroid,,3,0.290575326,0.013344843,0.898619899,0.043116586,0.905380322,0.022029153,15.07998803,3.703627347,1,0.323357325,4.876224582,4.414837781
umap:cosine,mlp geo,fourier_basis,9,6,0.315293732,0.03324557,0.986111111,0.0310565,0.90996628,0.044135024,15.67039371,12.78601382,1,0.319734489,5.010365324,4.559263496
